index,threshold_db,min_duration_secs,window_size_ms,window_step_ms
1,-35.0,0.5,100,50
2,-35.0,1.0,100,50
3,-35.0,1.5,100,50
4,-35.0,2.0,100,50
5,-35.0,2.5,100,50
6,-40.0,0.5,100,50
7,-40.0,1.0,100,50
8,-40.0,1.5,100,50
9,-40.0,2.0,100,50
10,-40.0,2.5,100,50
11,-45.0,0.5,100,50
12,-45.0,1.0,100,50
13,-45.0,1.5,100,50
14,-45.0,2.0,100,50
15,-45.0,2.5,100,50
16,-50.0,0.5,100,50
17,-50.0,1.0,100,50
18,-50.0,1.5,100,50
19,-50.0,2.0,100,50
20,-50.0,2.5,100,50
21,-55.0,0.5,100,50
22,-55.0,1.0,100,50
23,-55.0,1.5,100,50
24,-55.0,2.0,100,50
25,-55.0,2.5,100,50
26,-60.0,0.5,100,50
27,-60.0,1.0,100,50
28,-60.0,1.5,100,50
29,-60.0,2.0,100,50
30,-60.0,2.5,100,50
